statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2015,Total assets,total assets,total_assets,13932.0,Balance sheet 2015-2017
Balance sheet,Company,2015,total current assets,total current assets,current_assets,6923.0,Balance sheet 2015-2017
Balance sheet,Company,2015,total current liabilities,total current liabilities,current_liabilities,16729.0,Balance sheet 2015-2017
Balance sheet,Company,2015,total equity,total equity,total_equity,-10707.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,13932.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Total liabilities,total liabilities,total_liabilities,24639.0,Balance sheet 2015-2017
Balance sheet,Company,2015,total non-current assets,total non-current assets,non_current_assets,6910.0,Balance sheet 2015-2017
Balance sheet,Company,2015,total non-current liabilities,total non-current liabilities,non_current_liabilities,7910.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Trade and other payables,trade and other payables,payables,6668.0,Balance sheet 2015-2017
Balance sheet,Company,2015,Trade and other receivables,trade and other receivables,receivables,4832.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Accumulated Loss,accumulated loss,accumulated_loss,-25676.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Cash and cash equivalents,cash and cash equivalents,cash,2044.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Amounts receivable from subsidiaries,current assets: amounts receivable from subsidiaries,,1298.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Derivatives,current assets: derivatives,,84.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,4069.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Derivatives,current liabilities: derivatives,,4.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Provisions,current liabilities: provisions,provisions_current,1390.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Current portion of long-term loans,current portion of long-term loans,current_portion_loans,6243.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Intangible assets,intangible assets,intangibles,188.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Inventories,inventories,inventories,101.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Investments,investments,,23.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Long-term loans,long-term loans,long_term_loans,7800.0,Balance sheet 2015-2017
Balance sheet,Company,2016,"Non-current assets classified as
held-for-sale and assets of
disposal groups",non-current assets classified as held-for-sale and assets of disposal groups,,99.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Amounts receivable from subsidiaries,non-current assets: amounts receivable from subsidiaries,,178.0,Balance sheet 2015-2017
